"","player_name","total_starts","last_Tm","last_Pos","sum_PTS_min","sum_FGA_min","sum_FTA_min","sum_AST_min","sum_ORB_min","TSp","player_id","salary"
"464","Deng Adel",3,"CLE","SF",0.16,0.19,0.02,0.03,0.02,41.2,6,77250
"465","DeVaughn Akoon-Purcell",0,"DEN","SG",0.32,0.45,0.09,0.27,0.05,34.1,8,77250
"466","Devin Robinson",0,"WAS","SF",0.49,0.34,0.15,0.06,0.06,65.7,462,77250
"467","DJ Stephens",0,"MEM","SG",0.29,0.29,0,0,0,50,501,77250
"468","Donte Grantham",0,"OKC","SF",0,1,0,0,0,0,213,77250
"469","Drew Eubanks",0,"SAS","PF",0.36,0.23,0.12,0.06,0.05,70.2,168,77250
"470","Duncan Robinson",1,"MIA","PF",0.31,0.29,0.04,0.03,0.01,51.9,463,77250
"471","Haywood Highsmith",0,"PHI","SF",0.22,0.25,0.05,0.05,0,42.1,245,77250
"472","Isaiah Hicks",0,"NYK","PF",0.38,0.25,0.16,0.06,0.06,66.6,242,77250
"473","Jalen Jones",0,"CLE","SF",0.38,0.29,0.13,0.03,0.05,59.6,296,77250
"474","Jared Terrell",0,"MIN","SG",0.28,0.35,0.05,0.11,0.01,38.8,511,77250
"475","Jaron Blossomgame",4,"CLE","SF",0.26,0.24,0.03,0.03,0.06,52.7,60,77250
"476","Jaylen Morris",0,"MIL","SG",0.34,0.34,0.07,0.14,0,47.8,387,77250
"477","Joe Chealey",0,"CHO","PG",0.25,0.38,0,0.12,0,32.9,109,77250
"478","Johnathan Motley",0,"LAC","PF",0.65,0.47,0.26,0.07,0.12,61.6,389,77250
"479","Jordan Loyd",0,"TOR","PG",0.53,0.33,0.2,0.11,0.02,70.9,338,77250
"480","Jordan McRae",0,"WAS","SG",0.48,0.39,0.11,0.09,0.02,57.9,365,77250
"481","JP Macura",0,"CHO","SG",0.35,0.53,0,0.12,0,33,346,77250
"482","Julian Washburn",3,"MEM","SF",0.16,0.19,0.02,0.06,0.03,41.2,545,77250
"483","Kadeem Allen",1,"NYK","SG",0.45,0.34,0.13,0.18,0.02,61,14,77250
"484","Kostas Antetokounmpo",0,"DAL","PF",0.18,0.27,0.36,0,0,25.8,21,77250
"485","Marcus Derrickson",0,"GSW","PF",0.69,0.49,0.07,0.01,0.12,68.3,146,77250
"486","PJ Dozier",0,"BOS","SG",0.37,0.41,0.04,0.1,0.12,44.2,155,77250
"487","Rawle Alkins",1,"CHI","SG",0.31,0.32,0.1,0.11,0.09,45.3,11,77250
"488","RJ Hunter",0,"BOS","SG",0.65,0.5,0.08,0.12,0.04,62.8,261,77250
"489","Shake Milton",0,"PHI","SG",0.32,0.32,0.03,0.07,0.03,49,376,77250
"490","Theo Pinson",0,"BRK","SG",0.38,0.35,0.1,0.1,0.02,51.1,433,77250
"491","Thomas Welsh",0,"DEN","C",0.5,0.36,0.06,0.14,0,67,547,77250
"492","Trevon Duval",0,"MIL","PG",0.83,0.5,0,0.33,0,83,161,77250
"493","Troy Caupain",0,"ORL","PG",0.62,0.5,0,0.25,0.06,62,105,77250
"494","Troy Williams",0,"SAC","SF",0.36,0.31,0.05,0.04,0.04,56.1,560,77250
"495","Tyler Cavanaugh",0,"UTA","PF",0.23,0.26,0.05,0.03,0.08,42.4,106,77250
"496","Tyler Davis",0,"OKC","C",0,1,0,0,1,0,138,77250
"497","Yuta Watanabe",0,"MEM","SF",0.22,0.29,0.06,0.05,0.02,36.3,546,77250
"498","Zach Lofton",0,"DET","SG",0,0.25,0,0,0,0,331,77250
"499","Andre Ingram",0,"LAL","SG",0,0.4,0,0,0.07,0,268,76236
"500","Scott Machado",0,"LAL","PG",0.53,0.32,0.05,0.16,0,80.1,343,76236
"501","Billy Garrett",0,"NYK","SG",0.41,0.43,0.06,0.11,0,46.3,193,67370
"502","Brandon Goodwin",0,"DEN","PG",0.4,0.4,0.19,0.25,0.02,45.3,205,56845
"503","Mitch Creek",0,"TOT","SF",1.35,1.11,0.34,0.35,0.35,57,128,56845
"504","Jemerrio Jones",2,"LAL","SF",0.19,0.23,0.01,0.09,0.11,40.9,297,52170
"505","Dusty Hannahs",0,"MEM","SG",0.31,0.46,0.08,0.19,0,32.5,222,47370
"506","Isaac Humphries",1,"ATL","C",0.27,0.38,0,0,0.07,35.5,260,47370
"507","Jordan Sibert",0,"ATL","SG",0.75,0.25,0,0,0,150,483,47370
"508","Tahjere McCall",0,"BRK","SG",0.5,0.38,0.12,0,0,61.5,356,47370
